Harry Potter and the Philosopher’s Stone
J. K. Rowling
1 1997 14.95
Children's Magic Fantasy
Bloomsbury Publishing PLC
Harry Potter and the Chamber of Secrets
J. K. Rowling
1 1998 12.48
Children's Magic Fantasy
Bloomsbury Publishing PLC
Harry Potter and the Prisoner of Azkaban
J. K. Rowling
1 1999 16.59
Children's Magic Fantasy
Bloomsbury Publishing PLC
Harry Potter and the Goblet of Fire
J. K. Rowling
1 2000 14.95
Children's Magic Fantasy
Bloomsbury Publishing PLC
Harry Potter and the Order of the Phoenix
J. K. Rowling
1 2003 19.98
Children's Magic Fantasy
Bloomsbury Publishing PLC
Harry Potter and the Half-Blood Prince
J. K. Rowling
1 2005 22.50
Children's Magic Fantasy
Bloomsbury Publishing PLC
Harry Potter and the Deathly Hallows
J. K. Rowling
1 2007 22.50
Children's Magic Fantasy
Bloomsbury Publishing PLC
